dow	hour	count
1	0	7
1	1	4
1	2	7
1	3	6
1	4	2
1	5	1
1	7	1
1	9	1
1	12	1
1	14	1
1	15	1
1	17	2
1	18	1
1	21	3
1	22	5
1	23	2
2	0	1
2	1	3
2	3	2
2	10	1
2	11	1
2	12	1
2	16	1
2	17	1
2	18	1
2	19	1
2	22	1
2	23	4
3	0	5
3	1	2
3	8	1
3	12	1
3	13	2
3	19	1
3	20	3
3	21	3
3	22	3
3	23	5
4	0	2
4	1	1
4	2	1
4	3	1
4	4	2
4	9	1
4	12	1
4	13	1
4	14	1
4	17	1
4	18	1
4	19	1
4	21	2
4	22	1
4	23	1
5	0	1
5	1	2
5	2	1
5	4	1
5	7	2
5	12	1
5	15	1
5	17	1
5	18	2
5	22	3
6	0	2
6	1	2
6	2	1
6	3	1
6	7	1
6	20	2
6	21	4
6	22	2
6	23	2
7	0	2
7	1	5
7	2	5
7	4	3
7	14	1
7	15	1
7	16	1
7	18	1
7	19	2
7	21	2
7	22	4
7	23	3
