date,symbol,price
2015,White,8.615
2015,Black,24.053
2015,Hispanic,19.277
2015,Other,7.677
2015,Asian,10.61
2016,White,13.214
2016,Black,26.615
2016,Hispanic,20.668
2016,Other,7.9895
2016,Asian,6.401
2017,White,12.21
2017,Black,25.68
2017,Hispanic,17.48
2017,Other,6.67
2017,Asian,3.8
2018,White,9.9
2018,Black,24.49
2018,Hispanic,13.13
2018,Other,7.83
2018,Asian,3.19
2019,White,7.715
2019,Black,20.85
2019,Hispanic,11.38
2019,Other,5.03
2019,Asian,4.39
2020,White,12.82
2020,Black,19.91
2020,Hispanic,13.36
2020,Other,6.9
2020,Asian,5.14
