date,symbol,price
2015,White,6.186
2015,Black,29.789
2015,Hispanic,9.198
2015,Other,15.433
2015,Asian,3.67
2016,White,6.762
2016,Black,34.939
2016,Hispanic,12.241
2016,Other,16.956
2016,Asian,4.234
2017,White,7.098
2017,Black,36.347
2017,Hispanic,13.788
2017,Other,19.727
2017,Asian,4.52
2018,White,4.263
2018,Black,28.013
2018,Hispanic,8.841
2018,Other,12.732
2018,Asian,2.885
2019,White,5.546
2019,Black,31.394
2019,Hispanic,10.943
2019,Other,17.371
2019,Asian,3.959
2020,White,2.34346
2020,Black,14.64197
2020,Hispanic,4.85982
2020,Other,6.13263
2020,Asian,1.451562
