hour	dow	count
0	1	16
0	2	7
0	3	5
0	4	2
0	5	4
0	6	2
0	7	10
1	1	7
1	2	6
1	3	3
1	4	1
1	5	2
1	6	2
1	7	6
2	1	9
2	3	2
2	4	1
2	5	2
2	6	1
2	7	7
3	1	10
3	2	5
3	4	2
3	5	2
3	6	1
3	7	4
4	1	5
4	3	1
4	4	4
4	5	2
4	6	1
4	7	6
5	1	2
7	1	1
7	3	1
7	5	2
7	6	1
7	7	2
8	3	1
9	1	1
9	4	1
10	2	1
10	3	1
10	7	1
11	2	1
12	1	1
12	2	1
12	3	2
12	4	1
12	5	1
13	3	4
13	4	1
13	7	3
14	1	1
14	2	1
14	4	1
14	6	2
14	7	2
15	1	1
15	5	1
15	6	2
15	7	3
16	2	1
16	3	1
16	7	1
17	1	2
17	2	1
17	4	1
17	5	1
18	1	1
18	2	1
18	3	1
18	4	2
18	5	3
18	6	1
18	7	3
19	1	1
19	2	1
19	3	1
19	4	1
19	6	1
19	7	5
20	1	1
20	2	1
20	3	3
20	5	2
20	6	4
20	7	1
21	1	4
21	2	2
21	3	4
21	4	2
21	5	3
21	6	7
21	7	3
22	1	7
22	2	5
22	3	8
22	4	4
22	5	4
22	6	8
22	7	8
23	1	6
23	2	4
23	3	8
23	4	4
23	6	8
23	7	11
