dow	hour	count
1	0	2
1	1	3
1	2	2
1	4	3
1	7	1
1	8	2
1	9	9
1	10	1
1	11	4
1	12	4
1	13	3
1	14	2
1	15	3
1	16	3
1	17	5
1	18	1
1	19	2
1	21	1
1	23	3
2	0	2
2	1	5
2	3	1
2	4	2
2	8	1
2	10	1
2	11	2
2	12	5
2	13	6
2	14	3
2	15	5
2	16	4
2	17	10
2	18	7
2	19	2
2	20	1
2	21	1
2	22	3
2	23	2
3	0	2
3	1	1
3	2	4
3	3	3
3	7	1
3	8	2
3	9	1
3	10	2
3	11	4
3	12	4
3	13	14
3	14	8
3	15	12
3	16	6
3	17	5
3	18	5
3	19	1
3	21	2
3	22	5
3	23	4
4	0	3
4	2	1
4	3	2
4	6	1
4	7	2
4	8	2
4	9	4
4	10	5
4	11	6
4	12	8
4	13	13
4	14	6
4	15	4
4	16	6
4	17	11
4	18	17
4	19	6
4	20	1
4	21	3
4	22	1
4	23	1
5	0	1
5	1	1
5	2	3
5	3	3
5	7	2
5	8	3
5	9	3
5	11	1
5	12	4
5	13	7
5	14	17
5	15	5
5	16	2
5	17	6
5	18	3
5	19	6
5	20	2
5	21	2
5	22	2
5	23	1
6	0	3
6	1	5
6	2	2
6	6	1
6	7	2
6	8	1
6	9	9
6	10	3
6	11	13
6	12	8
6	13	11
6	14	13
6	15	8
6	16	4
6	17	3
6	18	2
6	19	4
6	20	1
6	21	3
6	22	4
6	23	3
7	0	2
7	1	2
7	2	2
7	3	2
7	4	3
7	5	1
7	6	1
7	7	1
7	8	1
7	9	1
7	10	5
7	11	4
7	12	6
7	13	10
7	14	7
7	15	5
7	16	3
7	17	4
7	18	5
7	19	6
7	20	3
7	21	1
7	23	1
