hour	dow	count
0	1	3
0	2	2
0	3	2
0	4	2
0	5	1
0	6	2
0	7	4
1	1	1
1	2	3
1	3	2
1	4	1
1	5	3
1	6	2
1	7	3
2	2	7
2	3	2
2	4	1
2	5	3
2	6	1
2	7	3
3	1	3
3	2	2
3	4	1
3	5	2
3	7	3
4	1	2
4	3	1
4	4	1
4	5	1
4	7	2
5	1	1
5	7	1
6	1	1
7	2	1
7	6	2
7	7	1
8	1	2
8	3	1
8	4	3
8	6	7
8	7	1
9	2	1
9	3	1
9	4	3
9	6	2
10	2	1
10	3	2
10	4	2
10	5	3
10	6	1
11	2	1
11	4	1
11	5	1
12	3	1
12	4	2
12	6	2
13	2	2
13	6	1
13	7	1
14	3	1
14	5	3
14	6	1
14	7	1
15	1	1
15	2	4
15	5	1
15	6	3
16	2	3
16	5	1
16	7	2
17	2	3
17	3	3
17	7	1
18	1	1
18	3	1
18	4	3
18	5	1
18	6	1
18	7	1
19	1	3
19	2	1
19	4	2
19	5	1
19	6	1
19	7	4
20	1	1
20	2	1
20	3	3
20	6	1
20	7	1
21	2	5
21	3	5
21	4	2
21	5	2
21	6	3
21	7	5
22	1	1
22	2	5
22	3	4
22	4	7
22	5	5
22	6	1
22	7	2
23	1	2
23	2	5
23	3	4
23	4	6
23	5	2
23	6	3
