dow	hour	count
1	0	1
1	2	3
1	3	3
1	5	1
1	9	1
1	15	1
1	18	2
1	19	5
1	20	2
1	22	4
1	23	4
2	0	4
2	1	4
2	2	1
2	3	3
2	4	1
2	5	1
2	7	1
2	8	2
2	9	4
2	10	7
2	11	9
2	12	12
2	13	5
2	14	2
2	15	3
2	17	2
2	18	1
2	19	2
2	20	3
2	21	6
2	22	6
2	23	4
3	0	9
3	1	12
3	2	7
3	3	2
3	4	1
3	7	1
3	9	3
3	10	10
3	11	14
3	12	10
3	13	6
3	14	1
3	15	2
3	16	2
3	17	2
3	18	1
3	20	3
3	21	9
3	22	6
3	23	10
4	0	6
4	1	4
4	2	9
4	3	3
4	4	1
4	7	4
4	8	1
4	9	5
4	10	8
4	11	11
4	12	5
4	13	5
4	14	1
4	16	3
4	17	5
4	18	3
4	19	5
4	20	6
4	21	8
4	22	6
4	23	14
5	0	8
5	1	5
5	2	4
5	3	1
5	4	1
5	7	1
5	8	5
5	9	12
5	10	5
5	11	15
5	12	13
5	13	8
5	14	2
5	15	4
5	16	3
5	17	5
5	18	3
5	19	2
5	20	3
5	21	5
5	22	7
5	23	4
6	0	3
6	2	8
6	3	8
6	4	1
6	7	1
6	8	9
6	10	9
6	11	3
6	12	3
6	13	2
6	14	6
6	15	3
6	16	2
6	18	1
6	20	1
6	21	2
6	22	3
7	0	8
7	1	2
7	2	2
7	3	2
7	8	2
7	9	4
7	13	3
7	15	1
7	16	3
7	18	2
7	19	2
7	20	5
7	21	4
7	22	3
7	23	1
