date,symbol,Total,Searched,price
2018,White,882,5,0.566893424
2018,Black,620,14,2.258064516
2018,Asian,418,2,0.4784689
2018,Other,349,3,0.859598854
2018,Hispanic,338,6,1.775147929
2017,White,620,11,1.774193548
2017,Black,347,13,3.746397695
2017,Asian,277,4,1.444043321
2017,Hispanic,241,8,3.319502075
2017,Other,219,1,0.456621005
2016,White,622,5,0.803858521
2016,Asian,268,4,1.492537313
2016,Other,242,3,1.239669421
2016,Black,241,10,4.149377593
2016,Hispanic,236,11,4.661016949
2015,White,1018,9,0.884086444
2015,Asian,413,5,1.210653753
2015,Other,313,8,2.555910543
2015,Black,282,11,3.90070922
2015,Hispanic,246,6,2.43902439
